'OMNIDIRECTIONAL FLUENCE ANALYSIS'
'MULASSIS tag ml-v01-26'
'geant4-10-01-patch-03 (5-February-2016)'
'File Created: Tue Nov 12 23:39:45 2024'
'FLU_BDY',  1, 2, ' '
'FLU_PAR', -1, 'proton', ' '
'FLU_AMN',  1,   0., 'deg'
'FLU_AMX',  1, 180., 'deg'
Lower edge of energy bin [keV], Upper edge of energy bin [keV], Mean energy of bin [keV], Fluence [particles/cm2/bin], Error in fluence/flux [particles/cm2/bin]
 1.0000e+00, 1.2589e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 1.2589e+00, 1.5849e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 1.5849e+00, 1.9953e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 1.9953e+00, 2.5119e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 2.5119e+00, 3.1623e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 3.1623e+00, 3.9811e+00, 3.7046e+00, 9.9092e+02, 9.9092e+02
 3.9811e+00, 5.0119e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 5.0119e+00, 6.3096e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 6.3096e+00, 7.9433e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 7.9433e+00, 1.0000e+01, 9.3637e+00, 1.1731e+03, 1.1731e+03
 1.0000e+01, 1.2589e+01, 1.1034e+01, 4.3212e+03, 2.5640e+03
 1.2589e+01, 1.5849e+01, 1.4726e+01, 6.3553e+03, 3.0722e+03
 1.5849e+01, 1.9953e+01, 1.8612e+01, 6.5753e+03, 4.4337e+03
 1.9953e+01, 2.5119e+01, 2.3635e+01, 2.3566e+03, 1.6955e+03
 2.5119e+01, 3.1623e+01, 2.6910e+01, 3.2236e+03, 1.8676e+03
 3.1623e+01, 3.9811e+01, 3.3617e+01, 2.9468e+03, 1.7036e+03
 3.9811e+01, 5.0119e+01, 4.6038e+01, 5.0657e+03, 2.5800e+03
 5.0119e+01, 6.3096e+01, 5.6994e+01, 9.4327e+03, 3.3800e+03
 6.3096e+01, 7.9433e+01, 7.3281e+01, 1.0777e+04, 3.6646e+03
 7.9433e+01, 1.0000e+02, 9.2136e+01, 1.0965e+04, 3.7329e+03
 1.0000e+02, 1.2589e+02, 1.1338e+02, 1.4497e+04, 4.0868e+03
 1.2589e+02, 1.5849e+02, 1.4478e+02, 2.1825e+04, 6.7915e+03
 1.5849e+02, 1.9953e+02, 1.8062e+02, 2.5755e+04, 5.5524e+03
 1.9953e+02, 2.5119e+02, 2.2260e+02, 1.9177e+04, 4.7252e+03
 2.5119e+02, 3.1623e+02, 2.8597e+02, 3.7332e+04, 7.5616e+03
 3.1623e+02, 3.9811e+02, 3.6122e+02, 6.9549e+04, 9.4847e+03
 3.9811e+02, 5.0119e+02, 4.5353e+02, 9.1009e+04, 1.1567e+04
 5.0119e+02, 6.3096e+02, 5.7090e+02, 1.4577e+05, 1.5085e+04
 6.3096e+02, 7.9433e+02, 7.1398e+02, 1.5161e+05, 1.4121e+04
