Device Type,SampleID,Proton Energy (keV),Proton Fluence (cm^-2),PCE_before (%),PCE_after (%),PCE-RF (of unity)
"Sb2(S,Se)3",2,300,1E+12,4.909,2.24,0.456304746
"Sb2(S,Se)3",2,300,1E+12,5.764,4.217,0.731609993
"Sb2(S,Se)3",2,300,1E+12,3.831,3.683,0.961367789
"Sb2(S,Se)3",2,300,1E+12,5.659,2.701,0.477292808
"Sb2(S,Se)3",2,300,1E+12,5.249,4.401,0.838445418
"Sb2(S,Se)3",2,300,1E+12,5.511,4.855,0.880965342
"Sb2(S,Se)3",2,300,1E+12,5.365,4.345,0.809878844
"Sb2(S,Se)3",3,300,1E+13,5.567,4.541,0.815699659
"Sb2(S,Se)3",3,300,1E+13,5.304,4.862,0.916666667
"Sb2(S,Se)3",3,300,1E+13,5.708,5.36,0.939032936
"Sb2(S,Se)3",3,300,1E+13,6.811,4.91,0.720892674
"Sb2(S,Se)3",3,300,1E+13,6.633,6.24,0.940750791
"Sb2(S,Se)3",3,300,1E+13,6.787,5.495,0.809636069
"Sb2(S,Se)3",4,300,1E+14,5.057,3.333,0.659086415
"Sb2(S,Se)3",4,300,1E+14,5.56,0.984,0.176978417
"Sb2(S,Se)3",4,300,1E+14,5.476,1.179,0.215303141
"Sb2(S,Se)3",4,300,1E+14,5.538,2.053,0.370711448
"Sb2(S,Se)3",4,300,1E+14,4.883,3.633,0.74400983
"Sb2(S,Se)3",4,300,1E+14,5.232,1.906,0.364296636
"Sb2(S,Se)3",4,300,1E+14,5.158,3.511,0.68069019
"Sb2(S,Se)3",6,100,1E+12,4.818,4.851,1.006849315
"Sb2(S,Se)3",6,100,1E+12,5.105,5.125,1.003917728
"Sb2(S,Se)3",6,100,1E+12,5.577,4.049,0.726017572
"Sb2(S,Se)3",6,100,1E+12,4.432,2.535,0.571976534
"Sb2(S,Se)3",6,100,1E+12,4.973,1.113,0.223808566
"Sb2(S,Se)3",6,100,1E+12,4.379,2.205,0.503539621
"Sb2(S,Se)3",6,100,1E+12,4.449,2.121,0.476736345
"Sb2(S,Se)3",7,100,1E+13,5.392,4.131,0.766135015
"Sb2(S,Se)3",7,100,1E+13,5.512,5.365,0.973330914
"Sb2(S,Se)3",7,100,1E+13,4.48,4.278,0.954910714
"Sb2(S,Se)3",7,100,1E+13,4.37,2.585,0.591533181
"Sb2(S,Se)3",7,100,1E+13,4.284,3.065,0.715452848
"Sb2(S,Se)3",8,100,1E+14,5.747,0.965,0.167913694
"Sb2(S,Se)3",8,100,1E+14,5.339,1.992,0.373103577
"Sb2(S,Se)3",8,100,1E+14,6.04,3.287,0.544205298
"Sb2(S,Se)3",8,100,1E+14,6.285,1.976,0.314399364
"Sb2(S,Se)3",8,100,1E+14,3.962,1.398,0.352852095
"Sb2(S,Se)3",8,100,1E+14,5.324,2.29,0.430127724
"Sb2(S,Se)3",8,100,1E+14,7.024,1.256,0.17881549
