Device Type,SampleID,Proton Energy (keV),Proton Fluence (cm^-2),PCE_before (%),PCE_after (%),PCE-RF (of unity)
Sb2S3,1,100,1E+11,6.355,5.393,0.848623131
Sb2S3,1,100,1E+11,6.851,6.455,0.942198219
Sb2S3,1,100,1E+11,7.001,5.213,0.744607913
Sb2S3,1,100,1E+11,7.389,6.616,0.895385032
Sb2S3,1,100,1E+11,7.325,6.68,0.911945392
Sb2S3,1,100,1E+11,7.284,6.913,0.949066447
Sb2S3,1,100,1E+11,7.495,6.337,0.845496998
Sb2S3,1,100,1E+11,7.329,5.3,0.723154591
Sb2S3,1,100,1E+11,5.23,4.569,0.873613767
Sb2S3,1,100,1E+11,7.774,7.528,0.968356059
Sb2S3,2,100,1E+12,6.832,5.802,0.849238876
Sb2S3,2,100,1E+12,6.791,5.816,0.856427625
Sb2S3,2,100,1E+12,6.768,5.759,0.850916076
Sb2S3,2,100,1E+12,6.771,4.347,0.642002658
Sb2S3,2,100,1E+12,6.742,3.312,0.491248888
Sb2S3,2,100,1E+12,6.73,5.426,0.806240713
Sb2S3,2,100,1E+12,6.981,2.864,0.41025641
Sb2S3,2,100,1E+12,7.477,5.901,0.789220276
Sb2S3,2,100,1E+12,7.269,5.14,0.707112395
Sb2S3,2,100,1E+12,7.304,5.712,0.78203724
Sb2S3,2,100,1E+12,7.323,6.712,0.91656425
Sb2S3,2,100,1E+12,7.584,6.962,0.917985232
Sb2S3,2,100,1E+12,7.468,6.594,0.882967327
Sb2S3,3,100,1E+13,6.3,4.617,0.732857143
Sb2S3,3,100,1E+13,6.594,4.484,0.680012132
Sb2S3,3,100,1E+13,7.058,4.617,0.654151318
Sb2S3,3,100,1E+13,7.187,4.31,0.599693892
Sb2S3,3,100,1E+13,6.872,5.338,0.77677532
Sb2S3,3,100,1E+13,6.921,4.459,0.644271059
Sb2S3,3,100,1E+13,7.273,5.03,0.691599065
Sb2S3,3,100,1E+13,7.191,4.917,0.683771381
Sb2S3,3,100,1E+13,7.013,5.075,0.723656067
Sb2S3,3,100,1E+13,6.921,4.943,0.71420315
Sb2S3,3,100,1E+13,7.417,5.479,0.738708373
Sb2S3,3,100,1E+13,7.323,5.36,0.731940462
Sb2S3,3,100,1E+13,7.196,5.127,0.712479155
Sb2S3,3,100,1E+13,7.582,4.792,0.632023213
Sb2S3,4,100,1E+14,6.393,0.327,0.051149695
Sb2S3,4,100,1E+14,6.561,0.258,0.039323274
Sb2S3,4,100,1E+14,6.534,0.281,0.043005816
Sb2S3,4,100,1E+14,6.736,0.31,0.046021378
Sb2S3,4,100,1E+14,6.916,0.366,0.052920763
Sb2S3,4,100,1E+14,7.031,0.459,0.065282321
Sb2S3,4,100,1E+14,6.715,0.409,0.060908414
Sb2S3,4,100,1E+14,6.815,0.739,0.108437271
Sb2S3,4,100,1E+14,6.85,0.512,0.074744526
Sb2S3,4,100,1E+14,7.066,0.603,0.085338239
Sb2S3,4,100,1E+14,7.039,0.658,0.093479187
Sb2S3,4,100,1E+14,6.905,0.789,0.114265025
Sb2S3,4,100,1E+14,7.055,1.117,0.158327427
Sb2S3,5,300,1E+11,7.275,6.026,0.828316151
Sb2S3,5,300,1E+11,7.601,4.852,0.638337061
Sb2S3,5,300,1E+11,7.775,4.551,0.585337621
Sb2S3,5,300,1E+11,7.414,5.059,0.682357702
Sb2S3,5,300,1E+11,7.582,4.771,0.629253495
Sb2S3,5,300,1E+11,7.506,4.84,0.644817479
Sb2S3,5,300,1E+11,7.757,5.858,0.755188862
Sb2S3,5,300,1E+11,7.66,4.999,0.652610966
Sb2S3,5,300,1E+11,7.605,5.847,0.768836292
Sb2S3,5,300,1E+11,7.696,6.034,0.784043659
Sb2S3,5,300,1E+11,7.377,6.242,0.846143419
Sb2S3,5,300,1E+11,7.261,4.977,0.685442776
Sb2S3,5,300,1E+11,7.26,6.074,0.836639118
Sb2S3,5,300,1E+11,7.124,5.734,0.804884896
Sb2S3,6,300,1E+12,7.52,6.754,0.898138298
Sb2S3,6,300,1E+12,7.405,6.017,0.812559082
Sb2S3,6,300,1E+12,7.519,6.652,0.884692113
Sb2S3,6,300,1E+12,7.573,6.265,0.82728113
Sb2S3,6,300,1E+12,7.391,6.109,0.826545799
Sb2S3,6,300,1E+12,7.441,6.608,0.888052681
Sb2S3,6,300,1E+12,7.568,6.709,0.886495772
Sb2S3,6,300,1E+12,7.429,6.596,0.887871854
Sb2S3,6,300,1E+12,7.46,6.966,0.933780161
Sb2S3,6,300,1E+12,7.028,6.959,0.990182129
Sb2S3,6,300,1E+12,7.428,6.379,0.858777598
Sb2S3,6,300,1E+12,7.606,6.798,0.893768078
Sb2S3,6,300,1E+12,7.618,7.258,0.952743502
