Batch,ShortID,Excitation Incidence,CouponID,CdTe p-Type Dopant,Proton Fluence (cm^-2),Proton Acceleration Voltage (kV),Median(PCE/(Control PCE)),Median(Jsc/(Control Jsc)),Median(Voc/(Control Voc)),Median(FF/(Control FF))
1,180409ac,sunnyside,180409,Copper,1.00E+11,650,0.969136849,0.991075907,0.995266272,0.980982436
1,180409ba,sunnyside,180409,Copper,1.00E+11,150,0.994177831,0.995486069,1,0.996851077
1,180409bb,sunnyside,180409,Copper,1.00E+12,650,0.923294331,0.990366822,0.985798817,0.939171358
1,180409bc,sunnyside,180409,Copper,1.00E+13,1000,0.723136058,0.916656578,0.933727811,0.845358268
1,180409ca,sunnyside,180409,Copper,1.00E+11,1000,0.996099712,0.998633714,0.998816568,0.999469438
1,180409cb,sunnyside,180409,Copper,1.00E+12,150,0.845740772,0.921533699,0.965680473,0.949982429
1,180409cd,sunnyside,180409,Copper,1.00E+13,650,0.629189984,0.842081597,0.904142012,0.81957431
1,180409dc,sunnyside,180409,Copper,1.00E+12,1000,0.963936465,0.992857266,0.991715976,0.972458985
1,180409dd,sunnyside,180409,Copper,1.00E+13,150,0.609405913,0.728558828,0.887573965,0.946123793
1,180410bb,sunnyside,180410,Copper,1.00E+12,150,0.846240942,0.917232069,0.966942149,0.947075979
1,180410bc,sunnyside,180410,Copper,1.00E+13,650,0.608299366,0.821725284,0.897284534,0.821600851
1,180410bd,sunnyside,180410,Copper,1.00E+11,1000,0.980185688,0.997611465,0.994096812,0.990518183
1,180410cb,sunnyside,180410,Copper,1.00E+13,150,0.670629529,0.777520078,0.907910272,0.951568094
1,180410cc,sunnyside,180410,Copper,1.00E+11,650,0.995754076,0.996157574,0.997638725,0.996820965
1,180410da,sunnyside,180410,Copper,1.00E+12,650,0.944010417,0.997646081,0.98583235,0.958230245
1,180410db,sunnyside,180410,Copper,1.00E+13,1000,0.752887228,0.934367211,0.93742621,0.862016061
1,180410dd,sunnyside,180410,Copper,1.00E+11,150,0.997877038,1.002457768,0.998229044,0.995411132
1,620310ba,sunnyside,620310,Arsenic,1.00E+13,150,0.319467499,0.362329172,0.82133995,1.068457379
1,620310bc,sunnyside,620310,Arsenic,1.00E+11,650,0.962585486,0.997791842,1.001240695,0.964172919
1,620310bd,sunnyside,620310,Arsenic,1.00E+12,1000,0.884602616,0.974006329,0.98325062,0.920473278
1,620310cb,sunnyside,620310,Arsenic,1.00E+13,1000,0.57479583,0.860486143,0.906947891,0.734520637
1,620310cc,sunnyside,620310,Arsenic,1.00E+11,150,1.019321426,0.995618458,1.003722084,1.0189342
