Energy (MeV),NIEL (MeV cm2 g-1),NIEL Dose* (MeV g-1),NIEL Dose* (Gy)
1.00E-01,0.00E+00,0.00E+00,0.00E+00
1.50E-01,0.00E+00,0.00E+00,0.00E+00
2.00E-01,0.00E+00,0.00E+00,0.00E+00
2.50E-01,0.00E+00,0.00E+00,0.00E+00
3.00E-01,0.00E+00,0.00E+00,0.00E+00
3.50E-01,3.63E-07,3.63E-07,5.81E-17
4.00E-01,2.39E-06,2.39E-06,3.83E-16
4.50E-01,4.41E-06,4.41E-06,7.06E-16
5.00E-01,6.36E-06,6.36E-06,1.02E-15
5.50E-01,8.24E-06,8.24E-06,1.32E-15
6.00E-01,1.00E-05,1.00E-05,1.61E-15
6.50E-01,1.17E-05,1.17E-05,1.88E-15
7.00E-01,1.33E-05,1.33E-05,2.14E-15
7.50E-01,1.49E-05,1.49E-05,2.38E-15
8.00E-01,1.63E-05,1.63E-05,2.62E-15
8.50E-01,1.77E-05,1.77E-05,2.84E-15
9.00E-01,1.91E-05,1.91E-05,3.05E-15
9.50E-01,2.03E-05,2.03E-05,3.26E-15
1.00E+00,2.15E-05,2.15E-05,3.45E-15
1.50E+00,3.13E-05,3.13E-05,5.02E-15
2.00E+00,3.84E-05,3.84E-05,6.15E-15
2.50E+00,4.39E-05,4.39E-05,7.04E-15
3.00E+00,4.85E-05,4.85E-05,7.77E-15
3.50E+00,5.23E-05,5.23E-05,8.38E-15
4.00E+00,5.56E-05,5.56E-05,8.91E-15
4.50E+00,5.85E-05,5.85E-05,9.37E-15
5.00E+00,6.11E-05,6.11E-05,9.79E-15
5.50E+00,6.34E-05,6.34E-05,1.02E-14
6.00E+00,6.55E-05,6.55E-05,1.05E-14
6.50E+00,6.74E-05,6.74E-05,1.08E-14
7.00E+00,6.92E-05,6.92E-05,1.11E-14
7.50E+00,7.08E-05,7.08E-05,1.13E-14
8.00E+00,7.23E-05,7.23E-05,1.16E-14
8.50E+00,7.37E-05,7.37E-05,1.18E-14
9.00E+00,7.50E-05,7.50E-05,1.20E-14
9.50E+00,7.63E-05,7.63E-05,1.22E-14
1.00E+01,7.74E-05,7.74E-05,1.24E-14
1.50E+01,8.61E-05,8.61E-05,1.38E-14
2.00E+01,9.16E-05,9.16E-05,1.47E-14
2.50E+01,9.52E-05,9.52E-05,1.53E-14
3.00E+01,9.77E-05,9.77E-05,1.57E-14
3.50E+01,9.94E-05,9.94E-05,1.59E-14
4.00E+01,1.01E-04,1.01E-04,1.61E-14
4.50E+01,1.01E-04,1.01E-04,1.62E-14
5.00E+01,1.02E-04,1.02E-04,1.63E-14
5.50E+01,1.02E-04,1.02E-04,1.63E-14
6.00E+01,1.02E-04,1.02E-04,1.64E-14
6.50E+01,1.02E-04,1.02E-04,1.64E-14
7.00E+01,1.02E-04,1.02E-04,1.63E-14
7.50E+01,1.02E-04,1.02E-04,1.63E-14
8.00E+01,1.02E-04,1.02E-04,1.63E-14
8.50E+01,1.02E-04,1.02E-04,1.63E-14
9.00E+01,1.01E-04,1.01E-04,1.62E-14
9.50E+01,1.01E-04,1.01E-04,1.62E-14
1.00E+02,1.01E-04,1.01E-04,1.62E-14
1.50E+02,9.92E-05,9.92E-05,1.59E-14
2.00E+02,9.80E-05,9.80E-05,1.57E-14
2.50E+02,9.73E-05,9.73E-05,1.56E-14
3.00E+02,9.68E-05,9.68E-05,1.55E-14
3.50E+02,9.64E-05,9.64E-05,1.55E-14
4.00E+02,9.62E-05,9.62E-05,1.54E-14
4.50E+02,9.60E-05,9.60E-05,1.54E-14
5.00E+02,9.58E-05,9.58E-05,1.54E-14
5.50E+02,9.56E-05,9.56E-05,1.53E-14
6.00E+02,9.55E-05,9.55E-05,1.53E-14
6.50E+02,9.54E-05,9.54E-05,1.53E-14
7.00E+02,9.53E-05,9.53E-05,1.53E-14
7.50E+02,9.53E-05,9.53E-05,1.53E-14
8.00E+02,9.52E-05,9.52E-05,1.53E-14
8.50E+02,9.51E-05,9.51E-05,1.52E-14
9.00E+02,9.51E-05,9.51E-05,1.52E-14
9.50E+02,9.50E-05,9.50E-05,1.52E-14
1.00E+03,9.50E-05,9.50E-05,1.52E-14
1.50E+03,9.48E-05,9.48E-05,1.52E-14
2.00E+03,9.46E-05,9.46E-05,1.52E-14
2.50E+03,9.46E-05,9.46E-05,1.52E-14
3.00E+03,9.45E-05,9.45E-05,1.51E-14
3.50E+03,9.45E-05,9.45E-05,1.51E-14
4.00E+03,9.44E-05,9.44E-05,1.51E-14
4.50E+03,9.44E-05,9.44E-05,1.51E-14
5.00E+03,9.44E-05,9.44E-05,1.51E-14
5.50E+03,9.44E-05,9.44E-05,1.51E-14
6.00E+03,9.44E-05,9.44E-05,1.51E-14
6.50E+03,9.44E-05,9.44E-05,1.51E-14
7.00E+03,9.44E-05,9.44E-05,1.51E-14
7.50E+03,9.44E-05,9.44E-05,1.51E-14
8.00E+03,9.43E-05,9.43E-05,1.51E-14
8.50E+03,9.43E-05,9.43E-05,1.51E-14
9.00E+03,9.43E-05,9.43E-05,1.51E-14
9.50E+03,9.43E-05,9.43E-05,1.51E-14
1.00E+04,9.43E-05,9.43E-05,1.51E-14
