Energy (MeV),NIEL (MeV cm2 g-1),NIEL Dose* (MeV g-1),NIEL Dose* (Gy)
1.00E-04,0.00E+00,0.00E+00,0.00E+00
1.50E-04,0.00E+00,0.00E+00,0.00E+00
2.00E-04,0.00E+00,0.00E+00,0.00E+00
2.50E-04,0.00E+00,0.00E+00,0.00E+00
3.00E-04,1.28E-01,1.28E-01,2.04E-11
3.50E-04,2.35E-01,2.35E-01,3.76E-11
4.00E-04,3.24E-01,3.24E-01,5.19E-11
4.50E-04,3.99E-01,3.99E-01,6.39E-11
5.00E-04,4.63E-01,4.63E-01,7.43E-11
5.50E-04,5.20E-01,5.20E-01,8.33E-11
6.00E-04,5.69E-01,5.69E-01,9.12E-11
6.50E-04,6.13E-01,6.13E-01,9.82E-11
7.00E-04,6.52E-01,6.52E-01,1.04E-10
7.50E-04,6.86E-01,6.86E-01,1.10E-10
8.00E-04,7.18E-01,7.18E-01,1.15E-10
8.50E-04,7.47E-01,7.47E-01,1.20E-10
9.00E-04,7.73E-01,7.73E-01,1.24E-10
9.50E-04,7.96E-01,7.96E-01,1.28E-10
1.00E-03,8.18E-01,8.18E-01,1.31E-10
1.50E-03,9.61E-01,9.61E-01,1.54E-10
2.00E-03,1.03E+00,1.03E+00,1.65E-10
2.50E-03,1.06E+00,1.06E+00,1.70E-10
3.00E-03,1.08E+00,1.08E+00,1.73E-10
3.50E-03,1.08E+00,1.08E+00,1.73E-10
4.00E-03,1.08E+00,1.08E+00,1.73E-10
4.50E-03,1.07E+00,1.07E+00,1.72E-10
5.00E-03,1.06E+00,1.06E+00,1.70E-10
5.50E-03,1.05E+00,1.05E+00,1.68E-10
6.00E-03,1.04E+00,1.04E+00,1.66E-10
6.50E-03,1.02E+00,1.02E+00,1.64E-10
7.00E-03,1.01E+00,1.01E+00,1.61E-10
7.50E-03,9.93E-01,9.93E-01,1.59E-10
8.00E-03,9.78E-01,9.78E-01,1.57E-10
8.50E-03,9.64E-01,9.64E-01,1.54E-10
9.00E-03,9.50E-01,9.50E-01,1.52E-10
9.50E-03,9.36E-01,9.36E-01,1.50E-10
1.00E-02,9.22E-01,9.22E-01,1.48E-10
1.50E-02,8.04E-01,8.04E-01,1.29E-10
2.00E-02,7.13E-01,7.13E-01,1.14E-10
2.50E-02,6.42E-01,6.42E-01,1.03E-10
3.00E-02,5.85E-01,5.85E-01,9.37E-11
3.50E-02,5.38E-01,5.38E-01,8.63E-11
4.00E-02,4.99E-01,4.99E-01,8.00E-11
4.50E-02,4.66E-01,4.66E-01,7.47E-11
5.00E-02,4.38E-01,4.38E-01,7.02E-11
5.50E-02,4.13E-01,4.13E-01,6.62E-11
6.00E-02,3.91E-01,3.91E-01,6.27E-11
6.50E-02,3.72E-01,3.72E-01,5.96E-11
7.00E-02,3.54E-01,3.54E-01,5.68E-11
7.50E-02,3.39E-01,3.39E-01,5.43E-11
8.00E-02,3.25E-01,3.25E-01,5.20E-11
8.50E-02,3.12E-01,3.12E-01,5.00E-11
9.00E-02,3.00E-01,3.00E-01,4.81E-11
9.50E-02,2.89E-01,2.89E-01,4.63E-11
1.00E-01,2.79E-01,2.79E-01,4.47E-11
1.50E-01,2.09E-01,2.09E-01,3.35E-11
2.00E-01,1.69E-01,1.69E-01,2.70E-11
2.50E-01,1.42E-01,1.42E-01,2.28E-11
3.00E-01,1.23E-01,1.23E-01,1.98E-11
3.50E-01,1.09E-01,1.09E-01,1.75E-11
4.00E-01,9.82E-02,9.82E-02,1.57E-11
4.50E-01,8.94E-02,8.94E-02,1.43E-11
5.00E-01,8.22E-02,8.22E-02,1.32E-11
5.50E-01,7.62E-02,7.62E-02,1.22E-11
6.00E-01,7.11E-02,7.11E-02,1.14E-11
6.50E-01,6.68E-02,6.68E-02,1.07E-11
7.00E-01,6.29E-02,6.29E-02,1.01E-11
7.50E-01,5.96E-02,5.96E-02,9.55E-12
8.00E-01,5.66E-02,5.66E-02,9.07E-12
8.50E-01,5.40E-02,5.40E-02,8.65E-12
9.00E-01,5.16E-02,5.16E-02,8.26E-12
9.50E-01,4.94E-02,4.94E-02,7.92E-12
1.00E+00,4.74E-02,4.74E-02,7.60E-12
1.50E+00,3.35E-02,3.35E-02,5.36E-12
2.00E+00,2.59E-02,2.59E-02,4.15E-12
2.50E+00,2.12E-02,2.12E-02,3.39E-12
3.00E+00,1.80E-02,1.80E-02,2.88E-12
3.50E+00,1.56E-02,1.56E-02,2.50E-12
4.00E+00,1.38E-02,1.38E-02,2.22E-12
4.50E+00,1.24E-02,1.24E-02,1.99E-12
5.00E+00,1.13E-02,1.13E-02,1.81E-12
5.50E+00,1.04E-02,1.04E-02,1.66E-12
6.00E+00,9.59E-03,9.59E-03,1.54E-12
6.50E+00,8.93E-03,8.93E-03,1.43E-12
7.00E+00,8.37E-03,8.37E-03,1.34E-12
7.50E+00,7.88E-03,7.88E-03,1.26E-12
8.00E+00,7.45E-03,7.45E-03,1.19E-12
8.50E+00,7.07E-03,7.07E-03,1.13E-12
9.00E+00,6.73E-03,6.73E-03,1.08E-12
9.50E+00,6.42E-03,6.42E-03,1.03E-12
1.00E+01,6.14E-03,6.14E-03,9.84E-13
1.50E+01,4.42E-03,4.42E-03,7.08E-13
2.00E+01,3.61E-03,3.61E-03,5.78E-13
2.50E+01,3.14E-03,3.14E-03,5.04E-13
3.00E+01,2.84E-03,2.84E-03,4.54E-13
3.50E+01,2.62E-03,2.62E-03,4.20E-13
4.00E+01,2.46E-03,2.46E-03,3.94E-13
4.50E+01,2.33E-03,2.33E-03,3.74E-13
5.00E+01,2.24E-03,2.24E-03,3.58E-13
5.50E+01,2.16E-03,2.16E-03,3.46E-13
6.00E+01,2.09E-03,2.09E-03,3.36E-13
6.50E+01,2.04E-03,2.04E-03,3.28E-13
7.00E+01,2.00E-03,2.00E-03,3.21E-13
7.50E+01,1.97E-03,1.97E-03,3.16E-13
8.00E+01,1.94E-03,1.94E-03,3.11E-13
8.50E+01,1.92E-03,1.92E-03,3.08E-13
9.00E+01,1.90E-03,1.90E-03,3.05E-13
9.50E+01,1.89E-03,1.89E-03,3.02E-13
1.00E+02,1.87E-03,1.87E-03,3.00E-13
1.50E+02,1.80E-03,1.80E-03,2.88E-13
2.00E+02,1.75E-03,1.75E-03,2.80E-13
2.50E+02,1.73E-03,1.73E-03,2.77E-13
3.00E+02,1.75E-03,1.75E-03,2.80E-13
3.50E+02,1.80E-03,1.80E-03,2.88E-13
4.00E+02,1.86E-03,1.86E-03,2.98E-13
4.50E+02,1.93E-03,1.93E-03,3.10E-13
5.00E+02,2.00E-03,2.00E-03,3.21E-13
5.50E+02,2.06E-03,2.06E-03,3.31E-13
6.00E+02,2.12E-03,2.12E-03,3.39E-13
6.50E+02,2.17E-03,2.17E-03,3.47E-13
7.00E+02,2.21E-03,2.21E-03,3.54E-13
7.50E+02,2.25E-03,2.25E-03,3.61E-13
8.00E+02,2.30E-03,2.30E-03,3.68E-13
8.50E+02,2.34E-03,2.34E-03,3.75E-13
9.00E+02,2.37E-03,2.37E-03,3.80E-13
9.50E+02,2.38E-03,2.38E-03,3.82E-13
1.00E+03,2.37E-03,2.37E-03,3.80E-13
