"Energy
(MeV)","Total mission
average flux
(/cm2/MeV/s)","Total mission
fluence
(/cm2/MeV)","Average flux
(/cm2/MeV/s)","Segment fluence
(/cm2/MeV)"
4.00E-02,7.77E+05,6.71E+11,7.77E+05,6.71E+11
0.1,5.46E+05,4.72E+11,5.46E+05,4.72E+11
0.2,2.35E+05,2.03E+11,2.35E+05,2.03E+11
0.3,8.04E+04,6.94E+10,8.04E+04,6.94E+10
0.4,3.20E+04,2.76E+10,3.20E+04,2.76E+10
0.5,1.43E+04,1.24E+10,1.43E+04,1.24E+10
0.6,6.82E+03,5.90E+09,6.82E+03,5.90E+09
0.7,4.50E+03,3.89E+09,4.50E+03,3.89E+09
0.8,3.05E+03,2.64E+09,3.05E+03,2.64E+09
1,1.72E+03,1.48E+09,1.72E+03,1.48E+09
1.25,9.82E+02,8.49E+08,9.82E+02,8.49E+08
1.5,6.76E+02,5.84E+08,6.76E+02,5.84E+08
1.75,4.67E+02,4.03E+08,4.67E+02,4.03E+08
2,3.10E+02,2.68E+08,3.10E+02,2.68E+08
2.25,2.07E+02,1.79E+08,2.07E+02,1.79E+08
2.5,1.50E+02,1.30E+08,1.50E+02,1.30E+08
2.75,1.08E+02,9.33E+07,1.08E+02,9.33E+07
3,6.85E+01,5.91E+07,6.85E+01,5.91E+07
3.25,4.39E+01,3.80E+07,4.39E+01,3.80E+07
3.5,2.88E+01,2.49E+07,2.88E+01,2.49E+07
3.75,1.90E+01,1.64E+07,1.90E+01,1.64E+07
4,1.18E+01,1.02E+07,1.18E+01,1.02E+07
4.25,7.35E+00,6.35E+06,7.35E+00,6.35E+06
4.5,4.17E+00,3.60E+06,4.17E+00,3.60E+06
4.75,2.37E+00,2.05E+06,2.37E+00,2.05E+06
5,1.41E+00,1.22E+06,1.41E+00,1.22E+06
5.5,5.05E-01,4.37E+05,5.05E-01,4.37E+05
6,1.14E-01,9.86E+04,1.14E-01,9.86E+04
6.5,1.82E-02,1.57E+04,1.82E-02,1.57E+04
7,0.00E+00,0.00E+00,0.00E+00,0.00E+00
