"Energy
(MeV)","Total mission
average flux
(/cm2/MeV/s)","Total mission
fluence
(/cm2/MeV)","Average flux
(/cm2/MeV/s)","Segment fluence
(/cm2/MeV)"
0.1,1.32E+03,1.14E+09,1.32E+03,1.14E+09
0.15,1.07E+03,9.27E+08,1.07E+03,9.27E+08
0.2,8.44E+02,7.29E+08,8.44E+02,7.29E+08
0.3,5.41E+02,4.67E+08,5.41E+02,4.67E+08
0.4,3.48E+02,3.00E+08,3.48E+02,3.00E+08
0.5,2.19E+02,1.89E+08,2.19E+02,1.89E+08
0.6,1.72E+02,1.49E+08,1.72E+02,1.49E+08
0.7,1.41E+02,1.22E+08,1.41E+02,1.22E+08
1,8.22E+01,7.11E+07,8.22E+01,7.11E+07
1.5,4.01E+01,3.47E+07,4.01E+01,3.47E+07
2,2.58E+01,2.23E+07,2.58E+01,2.23E+07
3,1.28E+01,1.10E+07,1.28E+01,1.10E+07
4,7.44E+00,6.43E+06,7.44E+00,6.43E+06
5,4.48E+00,3.87E+06,4.48E+00,3.87E+06
6,2.86E+00,2.48E+06,2.86E+00,2.48E+06
7,1.83E+00,1.58E+06,1.83E+00,1.58E+06
10,9.42E-01,8.14E+05,9.42E-01,8.14E+05
15,3.64E-01,3.15E+05,3.64E-01,3.15E+05
20,2.16E-01,1.87E+05,2.16E-01,1.87E+05
30,1.36E-01,1.18E+05,1.36E-01,1.18E+05
40,1.12E-01,9.70E+04,1.12E-01,9.70E+04
50,1.06E-01,9.15E+04,1.06E-01,9.15E+04
60,1.06E-01,9.12E+04,1.06E-01,9.12E+04
70,9.74E-02,8.42E+04,9.74E-02,8.42E+04
100,7.28E-02,6.29E+04,7.28E-02,6.29E+04
150,4.16E-02,3.60E+04,4.16E-02,3.60E+04
200,2.22E-02,1.92E+04,2.22E-02,1.92E+04
300,7.19E-03,6.22E+03,7.19E-03,6.22E+03
400,0.00E+00,0.00E+00,0.00E+00,0.00E+00
