Energy (MeV),NIEL (MeV cm2 g-1),NIEL Dose* (MeV g-1),NIEL Dose* (Gy)
1.0000e-04,0.0000e+00,0.0000e+00,0.0000e+00
1.5000e-04,0.0000e+00,0.0000e+00,0.0000e+00
2.0000e-04,0.0000e+00,0.0000e+00,0.0000e+00
2.5000e-04,0.0000e+00,0.0000e+00,0.0000e+00
3.0000e-04,0.0000e+00,0.0000e+00,0.0000e+00
3.5000e-04,0.0000e+00,0.0000e+00,0.0000e+00
4.0000e-04,3.6564e-02,3.6564e-02,5.8595e-12
4.5000e-04,2.0318e-01,2.0318e-01,3.2561e-11
5.0000e-04,3.6164e-01,3.6164e-01,5.7956e-11
5.5000e-04,4.9728e-01,4.9728e-01,7.9693e-11
6.0000e-04,6.1464e-01,6.1464e-01,9.8500e-11
6.5000e-04,7.1707e-01,7.1707e-01,1.1492e-10
7.0000e-04,8.0715e-01,8.0715e-01,1.2935e-10
7.5000e-04,8.8687e-01,8.8687e-01,1.4213e-10
8.0000e-04,9.5779e-01,9.5779e-01,1.5349e-10
8.5000e-04,1.0212e+00,1.0212e+00,1.6365e-10
9.0000e-04,1.0781e+00,1.0781e+00,1.7277e-10
9.5000e-04,1.1293e+00,1.1293e+00,1.8098e-10
1.0000e-03,1.1756e+00,1.1756e+00,1.8839e-10
1.5000e-03,1.4616e+00,1.4616e+00,2.3423e-10
2.0000e-03,1.5800e+00,1.5800e+00,2.5321e-10
2.5000e-03,1.6260e+00,1.6260e+00,2.6058e-10
3.0000e-03,1.6360e+00,1.6360e+00,2.6218e-10
3.5000e-03,1.6268e+00,1.6268e+00,2.6071e-10
4.0000e-03,1.6069e+00,1.6069e+00,2.5752e-10
4.5000e-03,1.5812e+00,1.5812e+00,2.5339e-10
5.0000e-03,1.5522e+00,1.5522e+00,2.4875e-10
5.5000e-03,1.5217e+00,1.5217e+00,2.4386e-10
6.0000e-03,1.4906e+00,1.4906e+00,2.3888e-10
6.5000e-03,1.4596e+00,1.4596e+00,2.3392e-10
7.0000e-03,1.4292e+00,1.4292e+00,2.2903e-10
7.5000e-03,1.3994e+00,1.3994e+00,2.2426e-10
8.0000e-03,1.3705e+00,1.3705e+00,2.1963e-10
8.5000e-03,1.3425e+00,1.3425e+00,2.1514e-10
9.0000e-03,1.3155e+00,1.3155e+00,2.1081e-10
9.5000e-03,1.2894e+00,1.2894e+00,2.0663e-10
1.0000e-02,1.2643e+00,1.2643e+00,2.0261e-10
1.5000e-02,1.0592e+00,1.0592e+00,1.6974e-10
2.0000e-02,9.1485e-01,9.1485e-01,1.4661e-10
2.5000e-02,8.0809e-01,8.0809e-01,1.2950e-10
3.0000e-02,7.2573e-01,7.2573e-01,1.1630e-10
3.5000e-02,6.6008e-01,6.6008e-01,1.0578e-10
4.0000e-02,6.0638e-01,6.0638e-01,9.7176e-11
4.5000e-02,5.6155e-01,5.6155e-01,8.9992e-11
5.0000e-02,5.2349e-01,5.2349e-01,8.3893e-11
5.5000e-02,4.9073e-01,4.9073e-01,7.8643e-11
6.0000e-02,4.6220e-01,4.6220e-01,7.4070e-11
6.5000e-02,4.3709e-01,4.3709e-01,7.0047e-11
7.0000e-02,4.1482e-01,4.1482e-01,6.6477e-11
7.5000e-02,3.9490e-01,3.9490e-01,6.3285e-11
8.0000e-02,3.7698e-01,3.7698e-01,6.0413e-11
8.5000e-02,3.6075e-01,3.6075e-01,5.7812e-11
9.0000e-02,3.4598e-01,3.4598e-01,5.5446e-11
9.5000e-02,3.3248e-01,3.3248e-01,5.3282e-11
1.0000e-01,3.2008e-01,3.2008e-01,5.1294e-11
1.5000e-01,2.3520e-01,2.3520e-01,3.7693e-11
2.0000e-01,1.8763e-01,1.8763e-01,3.0069e-11
2.5000e-01,1.5675e-01,1.5675e-01,2.5120e-11
3.0000e-01,1.3511e-01,1.3511e-01,2.1652e-11
3.5000e-01,1.1916e-01,1.1916e-01,1.9097e-11
4.0000e-01,1.0688e-01,1.0688e-01,1.7128e-11
4.5000e-01,9.7100e-02,9.7100e-02,1.5561e-11
5.0000e-01,8.9113e-02,8.9113e-02,1.4281e-11
5.5000e-01,8.2455e-02,8.2455e-02,1.3214e-11
6.0000e-01,7.6812e-02,7.6812e-02,1.2310e-11
6.5000e-01,7.1963e-02,7.1963e-02,1.1532e-11
7.0000e-01,6.7600e-02,6.7600e-02,1.0833e-11
7.5000e-01,6.3615e-02,6.3615e-02,1.0195e-11
8.0000e-01,6.0090e-02,6.0090e-02,9.6297e-12
8.5000e-01,5.6951e-02,5.6951e-02,9.1268e-12
9.0000e-01,5.4139e-02,5.4139e-02,8.6761e-12
9.5000e-01,5.1603e-02,5.1603e-02,8.2698e-12
1.0000e+00,4.9305e-02,4.9305e-02,7.9014e-12
1.5000e+00,3.4330e-02,3.4330e-02,5.5016e-12
2.0000e+00,2.6506e-02,2.6506e-02,4.2477e-12
2.5000e+00,2.1667e-02,2.1667e-02,3.4723e-12
3.0000e+00,1.8367e-02,1.8367e-02,2.9434e-12
3.5000e+00,1.5966e-02,1.5966e-02,2.5586e-12
4.0000e+00,1.4139e-02,1.4139e-02,2.2659e-12
4.5000e+00,1.2739e-02,1.2739e-02,2.0414e-12
5.0000e+00,1.1667e-02,1.1667e-02,1.8697e-12
5.5000e+00,1.0792e-02,1.0792e-02,1.7294e-12
6.0000e+00,1.0052e-02,1.0052e-02,1.6109e-12
6.5000e+00,9.4247e-03,9.4247e-03,1.5104e-12
7.0000e+00,8.8929e-03,8.8929e-03,1.4251e-12
7.5000e+00,8.4404e-03,8.4404e-03,1.3526e-12
8.0000e+00,8.0531e-03,8.0531e-03,1.2906e-12
8.5000e+00,7.7188e-03,7.7188e-03,1.2370e-12
9.0000e+00,7.4277e-03,7.4277e-03,1.1903e-12
9.5000e+00,7.1716e-03,7.1716e-03,1.1493e-12
1.0000e+01,6.9443e-03,6.9443e-03,1.1129e-12
1.5000e+01,5.5786e-03,5.5786e-03,8.9400e-13
2.0000e+01,5.0206e-03,5.0206e-03,8.0458e-13
2.5000e+01,4.7552e-03,4.7552e-03,7.6205e-13
3.0000e+01,4.5706e-03,4.5706e-03,7.3246e-13
3.5000e+01,4.4036e-03,4.4036e-03,7.0571e-13
4.0000e+01,4.2491e-03,4.2491e-03,6.8095e-13
4.5000e+01,4.1134e-03,4.1134e-03,6.5919e-13
5.0000e+01,4.0002e-03,4.0002e-03,6.4105e-13
5.5000e+01,3.9094e-03,3.9094e-03,6.2650e-13
6.0000e+01,3.8383e-03,3.8383e-03,6.1512e-13
6.5000e+01,3.7833e-03,3.7833e-03,6.0630e-13
7.0000e+01,3.7406e-03,3.7406e-03,5.9945e-13
7.5000e+01,3.7067e-03,3.7067e-03,5.9402e-13
8.0000e+01,3.6788e-03,3.6788e-03,5.8955e-13
8.5000e+01,3.6547e-03,3.6547e-03,5.8569e-13
9.0000e+01,3.6327e-03,3.6327e-03,5.8216e-13
9.5000e+01,3.6115e-03,3.6115e-03,5.7876e-13
1.0000e+02,3.5904e-03,3.5904e-03,5.7539e-13
1.5000e+02,3.3596e-03,3.3596e-03,5.3840e-13
2.0000e+02,3.1864e-03,3.1864e-03,5.1064e-13
2.5000e+02,3.1151e-03,3.1151e-03,4.9921e-13
3.0000e+02,3.1031e-03,3.1031e-03,4.9729e-13
3.5000e+02,3.1148e-03,3.1148e-03,4.9917e-13
4.0000e+02,3.1370e-03,3.1370e-03,5.0273e-13
4.5000e+02,3.1698e-03,3.1698e-03,5.0797e-13
5.0000e+02,3.2155e-03,3.2155e-03,5.1531e-13
5.5000e+02,3.2737e-03,3.2737e-03,5.2463e-13
6.0000e+02,3.3386e-03,3.3386e-03,5.3503e-13
6.5000e+02,3.4006e-03,3.4006e-03,5.4497e-13
7.0000e+02,3.4482e-03,3.4482e-03,5.5260e-13
7.5000e+02,3.4721e-03,3.4721e-03,5.5642e-13
8.0000e+02,3.4687e-03,3.4687e-03,5.5588e-13
8.5000e+02,3.4439e-03,3.4439e-03,5.5191e-13
9.0000e+02,3.4144e-03,3.4144e-03,5.4717e-13
9.5000e+02,3.4081e-03,3.4081e-03,5.4617e-13
1.0000e+03,3.4672e-03,3.4672e-03,5.5564e-13
