Energy (MeV),NIEL (MeV cm2 g-1),NIEL Dose* (MeV g-1),NIEL Dose* (Gy)
1.00E-03,1.41E+00,1.41E+00,2.26E-10
1.50E-03,1.58E+00,1.58E+00,2.54E-10
2.00E-03,1.63E+00,1.63E+00,2.62E-10
2.50E-03,1.64E+00,1.64E+00,2.62E-10
3.00E-03,1.62E+00,1.62E+00,2.59E-10
3.50E-03,1.59E+00,1.59E+00,2.54E-10
4.00E-03,1.55E+00,1.55E+00,2.49E-10
4.50E-03,1.52E+00,1.52E+00,2.43E-10
5.00E-03,1.48E+00,1.48E+00,2.37E-10
5.50E-03,1.44E+00,1.44E+00,2.32E-10
6.00E-03,1.41E+00,1.41E+00,2.26E-10
6.50E-03,1.38E+00,1.38E+00,2.21E-10
7.00E-03,1.35E+00,1.35E+00,2.16E-10
7.50E-03,1.32E+00,1.32E+00,2.11E-10
8.00E-03,1.29E+00,1.29E+00,2.06E-10
8.50E-03,1.26E+00,1.26E+00,2.02E-10
9.00E-03,1.23E+00,1.23E+00,1.97E-10
9.50E-03,1.21E+00,1.21E+00,1.93E-10
1.00E-02,1.18E+00,1.18E+00,1.89E-10
1.50E-02,9.88E-01,9.88E-01,1.58E-10
2.00E-02,8.54E-01,8.54E-01,1.37E-10
2.50E-02,7.56E-01,7.56E-01,1.21E-10
3.00E-02,6.80E-01,6.80E-01,1.09E-10
3.50E-02,6.19E-01,6.19E-01,9.93E-11
4.00E-02,5.70E-01,5.70E-01,9.13E-11
4.50E-02,5.29E-01,5.29E-01,8.47E-11
5.00E-02,4.93E-01,4.93E-01,7.91E-11
5.50E-02,4.63E-01,4.63E-01,7.42E-11
6.00E-02,4.36E-01,4.36E-01,6.99E-11
6.50E-02,4.13E-01,4.13E-01,6.62E-11
7.00E-02,3.92E-01,3.92E-01,6.29E-11
7.50E-02,3.74E-01,3.74E-01,5.99E-11
8.00E-02,3.57E-01,3.57E-01,5.72E-11
8.50E-02,3.42E-01,3.42E-01,5.48E-11
9.00E-02,3.28E-01,3.28E-01,5.26E-11
9.50E-02,3.16E-01,3.16E-01,5.06E-11
1.00E-01,3.04E-01,3.04E-01,4.87E-11
1.50E-01,2.24E-01,2.24E-01,3.59E-11
2.00E-01,1.79E-01,1.79E-01,2.88E-11
2.50E-01,1.51E-01,1.51E-01,2.41E-11
3.00E-01,1.30E-01,1.30E-01,2.09E-11
3.50E-01,1.15E-01,1.15E-01,1.84E-11
4.00E-01,1.03E-01,1.03E-01,1.65E-11
4.50E-01,9.33E-02,9.33E-02,1.49E-11
5.00E-01,8.54E-02,8.54E-02,1.37E-11
5.50E-01,7.89E-02,7.89E-02,1.26E-11
6.00E-01,7.33E-02,7.33E-02,1.18E-11
6.50E-01,6.86E-02,6.86E-02,1.10E-11
7.00E-01,6.45E-02,6.45E-02,1.03E-11
7.50E-01,6.09E-02,6.09E-02,9.75E-12
8.00E-01,5.76E-02,5.76E-02,9.23E-12
8.50E-01,5.47E-02,5.47E-02,8.77E-12
9.00E-01,5.22E-02,5.22E-02,8.36E-12
9.50E-01,4.98E-02,4.98E-02,7.98E-12
1.00E+00,4.77E-02,4.77E-02,7.65E-12
1.50E+00,3.33E-02,3.33E-02,5.34E-12
2.00E+00,2.57E-02,2.57E-02,4.12E-12
2.50E+00,2.10E-02,2.10E-02,3.37E-12
3.00E+00,1.78E-02,1.78E-02,2.86E-12
3.50E+00,1.55E-02,1.55E-02,2.49E-12
4.00E+00,1.38E-02,1.38E-02,2.22E-12
4.50E+00,1.25E-02,1.25E-02,2.00E-12
5.00E+00,1.14E-02,1.14E-02,1.83E-12
5.50E+00,1.05E-02,1.05E-02,1.69E-12
6.00E+00,9.79E-03,9.79E-03,1.57E-12
6.50E+00,9.18E-03,9.18E-03,1.47E-12
7.00E+00,8.66E-03,8.66E-03,1.39E-12
7.50E+00,8.22E-03,8.22E-03,1.32E-12
8.00E+00,7.83E-03,7.83E-03,1.25E-12
8.50E+00,7.48E-03,7.48E-03,1.20E-12
9.00E+00,7.17E-03,7.17E-03,1.15E-12
9.50E+00,6.89E-03,6.89E-03,1.10E-12
1.00E+01,6.64E-03,6.64E-03,1.06E-12
1.50E+01,5.15E-03,5.15E-03,8.26E-13
2.00E+01,4.51E-03,4.51E-03,7.23E-13
2.50E+01,4.15E-03,4.15E-03,6.65E-13
3.00E+01,3.91E-03,3.91E-03,6.26E-13
3.50E+01,3.73E-03,3.73E-03,5.98E-13
4.00E+01,3.60E-03,3.60E-03,5.77E-13
4.50E+01,3.50E-03,3.50E-03,5.61E-13
5.00E+01,3.42E-03,3.42E-03,5.49E-13
5.50E+01,3.37E-03,3.37E-03,5.40E-13
6.00E+01,3.33E-03,3.33E-03,5.33E-13
6.50E+01,3.29E-03,3.29E-03,5.28E-13
7.00E+01,3.27E-03,3.27E-03,5.24E-13
7.50E+01,3.25E-03,3.25E-03,5.21E-13
8.00E+01,3.23E-03,3.23E-03,5.18E-13
8.50E+01,3.22E-03,3.22E-03,5.16E-13
9.00E+01,3.21E-03,3.21E-03,5.14E-13
9.50E+01,3.20E-03,3.20E-03,5.12E-13
1.00E+02,3.19E-03,3.19E-03,5.11E-13
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
