Energy (MeV),NIEL (MeV cm2 g-1),NIEL Dose* (MeV g-1),NIEL Dose* (Gy)
1.00E-03,1.68E+00,1.68E+00,2.69E-10
1.50E-03,1.83E+00,1.83E+00,2.93E-10
2.00E-03,1.85E+00,1.85E+00,2.97E-10
2.50E-03,1.83E+00,1.83E+00,2.94E-10
3.00E-03,1.80E+00,1.80E+00,2.88E-10
3.50E-03,1.75E+00,1.75E+00,2.81E-10
4.00E-03,1.71E+00,1.71E+00,2.73E-10
4.50E-03,1.66E+00,1.66E+00,2.66E-10
5.00E-03,1.61E+00,1.61E+00,2.59E-10
5.50E-03,1.57E+00,1.57E+00,2.52E-10
6.00E-03,1.53E+00,1.53E+00,2.45E-10
6.50E-03,1.49E+00,1.49E+00,2.39E-10
7.00E-03,1.45E+00,1.45E+00,2.33E-10
7.50E-03,1.42E+00,1.42E+00,2.27E-10
8.00E-03,1.38E+00,1.38E+00,2.22E-10
8.50E-03,1.35E+00,1.35E+00,2.16E-10
9.00E-03,1.32E+00,1.32E+00,2.12E-10
9.50E-03,1.29E+00,1.29E+00,2.07E-10
1.00E-02,1.26E+00,1.26E+00,2.02E-10
1.50E-02,1.05E+00,1.05E+00,1.68E-10
2.00E-02,9.00E-01,9.00E-01,1.44E-10
2.50E-02,7.94E-01,7.94E-01,1.27E-10
3.00E-02,7.12E-01,7.12E-01,1.14E-10
3.50E-02,6.48E-01,6.48E-01,1.04E-10
4.00E-02,5.95E-01,5.95E-01,9.53E-11
4.50E-02,5.51E-01,5.51E-01,8.83E-11
5.00E-02,5.14E-01,5.14E-01,8.23E-11
5.50E-02,4.82E-01,4.82E-01,7.72E-11
6.00E-02,4.54E-01,4.54E-01,7.27E-11
6.50E-02,4.29E-01,4.29E-01,6.88E-11
7.00E-02,4.07E-01,4.07E-01,6.53E-11
7.50E-02,3.88E-01,3.88E-01,6.22E-11
8.00E-02,3.70E-01,3.70E-01,5.94E-11
8.50E-02,3.55E-01,3.55E-01,5.68E-11
9.00E-02,3.40E-01,3.40E-01,5.45E-11
9.50E-02,3.27E-01,3.27E-01,5.24E-11
1.00E-01,3.15E-01,3.15E-01,5.04E-11
1.50E-01,2.31E-01,2.31E-01,3.71E-11
2.00E-01,1.85E-01,1.85E-01,2.97E-11
2.50E-01,1.55E-01,1.55E-01,2.49E-11
3.00E-01,1.34E-01,1.34E-01,2.15E-11
3.50E-01,1.18E-01,1.18E-01,1.90E-11
4.00E-01,1.06E-01,1.06E-01,1.70E-11
4.50E-01,9.58E-02,9.58E-02,1.54E-11
5.00E-01,8.77E-02,8.77E-02,1.40E-11
5.50E-01,8.09E-02,8.09E-02,1.30E-11
6.00E-01,7.52E-02,7.52E-02,1.20E-11
6.50E-01,7.02E-02,7.02E-02,1.13E-11
7.00E-01,6.60E-02,6.60E-02,1.06E-11
7.50E-01,6.22E-02,6.22E-02,9.97E-12
8.00E-01,5.89E-02,5.89E-02,9.44E-12
8.50E-01,5.60E-02,5.60E-02,8.97E-12
9.00E-01,5.33E-02,5.33E-02,8.55E-12
9.50E-01,5.09E-02,5.09E-02,8.16E-12
1.00E+00,4.88E-02,4.88E-02,7.82E-12
1.50E+00,3.40E-02,3.40E-02,5.45E-12
2.00E+00,2.62E-02,2.62E-02,4.21E-12
2.50E+00,2.14E-02,2.14E-02,3.44E-12
3.00E+00,1.82E-02,1.82E-02,2.91E-12
3.50E+00,1.58E-02,1.58E-02,2.54E-12
4.00E+00,1.41E-02,1.41E-02,2.26E-12
4.50E+00,1.28E-02,1.28E-02,2.05E-12
5.00E+00,1.17E-02,1.17E-02,1.87E-12
5.50E+00,1.08E-02,1.08E-02,1.73E-12
6.00E+00,1.00E-02,1.00E-02,1.61E-12
6.50E+00,9.41E-03,9.41E-03,1.51E-12
7.00E+00,8.89E-03,8.89E-03,1.42E-12
7.50E+00,8.44E-03,8.44E-03,1.35E-12
8.00E+00,8.04E-03,8.04E-03,1.29E-12
8.50E+00,7.68E-03,7.68E-03,1.23E-12
9.00E+00,7.37E-03,7.37E-03,1.18E-12
9.50E+00,7.08E-03,7.08E-03,1.14E-12
1.00E+01,6.83E-03,6.83E-03,1.09E-12
1.50E+01,5.30E-03,5.30E-03,8.49E-13
2.00E+01,4.63E-03,4.63E-03,7.42E-13
2.50E+01,4.23E-03,4.23E-03,6.79E-13
3.00E+01,3.96E-03,3.96E-03,6.35E-13
3.50E+01,3.77E-03,3.77E-03,6.04E-13
4.00E+01,3.63E-03,3.63E-03,5.81E-13
4.50E+01,3.52E-03,3.52E-03,5.65E-13
5.00E+01,3.44E-03,3.44E-03,5.52E-13
5.50E+01,3.38E-03,3.38E-03,5.42E-13
6.00E+01,3.34E-03,3.34E-03,5.34E-13
6.50E+01,3.30E-03,3.30E-03,5.28E-13
7.00E+01,3.27E-03,3.27E-03,5.23E-13
7.50E+01,3.24E-03,3.24E-03,5.19E-13
8.00E+01,3.22E-03,3.22E-03,5.16E-13
8.50E+01,3.20E-03,3.20E-03,5.13E-13
9.00E+01,3.18E-03,3.18E-03,5.10E-13
9.50E+01,3.17E-03,3.17E-03,5.07E-13
1.00E+02,3.15E-03,3.15E-03,5.05E-13
