Energy (MeV),NIEL (MeV cm2 g-1),NIEL Dose* (MeV g-1),NIEL Dose* (Gy)
1.00E-04,0.00E+00,0.00E+00,0.00E+00
1.50E-04,0.00E+00,0.00E+00,0.00E+00
2.00E-04,0.00E+00,0.00E+00,0.00E+00
2.50E-04,0.00E+00,0.00E+00,0.00E+00
3.00E-04,0.00E+00,0.00E+00,0.00E+00
3.50E-04,5.04E-02,5.04E+09,8.07E-01
4.00E-04,1.39E-01,1.39E+10,2.23E+00
4.50E-04,2.13E-01,2.13E+10,3.41E+00
5.00E-04,2.75E-01,2.75E+10,4.41E+00
5.50E-04,3.29E-01,3.29E+10,5.27E+00
6.00E-04,3.75E-01,3.75E+10,6.01E+00
6.50E-04,4.16E-01,4.16E+10,6.66E+00
7.00E-04,4.51E-01,4.51E+10,7.23E+00
7.50E-04,5.05E-01,5.05E+10,8.10E+00
8.00E-04,5.59E-01,5.59E+10,8.96E+00
8.50E-04,6.07E-01,6.07E+10,9.73E+00
9.00E-04,6.50E-01,6.50E+10,1.04E+01
9.50E-04,6.90E-01,6.90E+10,1.11E+01
1.00E-03,7.26E-01,7.26E+10,1.16E+01
1.50E-03,9.60E-01,9.60E+10,1.54E+01
2.00E-03,1.07E+00,1.07E+11,1.72E+01
2.50E-03,1.13E+00,1.13E+11,1.81E+01
3.00E-03,1.15E+00,1.15E+11,1.85E+01
3.50E-03,1.16E+00,1.16E+11,1.86E+01
4.00E-03,1.16E+00,1.16E+11,1.86E+01
4.50E-03,1.15E+00,1.15E+11,1.85E+01
5.00E-03,1.14E+00,1.14E+11,1.83E+01
5.50E-03,1.13E+00,1.13E+11,1.81E+01
6.00E-03,1.11E+00,1.11E+11,1.78E+01
6.50E-03,1.10E+00,1.10E+11,1.76E+01
7.00E-03,1.08E+00,1.08E+11,1.73E+01
7.50E-03,1.06E+00,1.06E+11,1.70E+01
8.00E-03,1.04E+00,1.04E+11,1.67E+01
8.50E-03,1.03E+00,1.03E+11,1.65E+01
9.00E-03,1.01E+00,1.01E+11,1.62E+01
9.50E-03,9.95E-01,9.95E+10,1.59E+01
1.00E-02,9.79E-01,9.79E+10,1.57E+01
1.50E-02,8.42E-01,8.42E+10,1.35E+01
2.00E-02,7.40E-01,7.40E+10,1.19E+01
2.50E-02,6.62E-01,6.62E+10,1.06E+01
3.00E-02,6.00E-01,6.00E+10,9.62E+00
3.50E-02,5.50E-01,5.50E+10,8.81E+00
4.00E-02,5.08E-01,5.08E+10,8.14E+00
4.50E-02,4.73E-01,4.73E+10,7.58E+00
5.00E-02,4.43E-01,4.43E+10,7.10E+00
5.50E-02,4.17E-01,4.17E+10,6.68E+00
6.00E-02,3.94E-01,3.94E+10,6.31E+00
6.50E-02,3.74E-01,3.74E+10,5.99E+00
7.00E-02,3.55E-01,3.55E+10,5.70E+00
7.50E-02,3.39E-01,3.39E+10,5.44E+00
8.00E-02,3.24E-01,3.24E+10,5.20E+00
8.50E-02,3.11E-01,3.11E+10,4.99E+00
9.00E-02,2.99E-01,2.99E+10,4.79E+00
9.50E-02,2.88E-01,2.88E+10,4.61E+00
1.00E-01,2.77E-01,2.77E+10,4.45E+00
1.50E-01,2.06E-01,2.06E+10,3.31E+00
2.00E-01,1.66E-01,1.66E+10,2.66E+00
2.50E-01,1.39E-01,1.39E+10,2.23E+00
3.00E-01,1.20E-01,1.20E+10,1.93E+00
3.50E-01,1.06E-01,1.06E+10,1.71E+00
4.00E-01,9.56E-02,9.56E+09,1.53E+00
4.50E-01,8.69E-02,8.69E+09,1.39E+00
5.00E-01,7.99E-02,7.99E+09,1.28E+00
5.50E-01,7.39E-02,7.39E+09,1.19E+00
6.00E-01,6.89E-02,6.89E+09,1.10E+00
6.50E-01,6.46E-02,6.46E+09,1.04E+00
7.00E-01,6.09E-02,6.09E+09,9.75E-01
7.50E-01,5.75E-02,5.75E+09,9.22E-01
8.00E-01,5.45E-02,5.45E+09,8.73E-01
8.50E-01,5.17E-02,5.17E+09,8.29E-01
9.00E-01,4.93E-02,4.93E+09,7.90E-01
9.50E-01,4.71E-02,4.71E+09,7.55E-01
1.00E+00,4.51E-02,4.51E+09,7.23E-01
1.50E+00,3.16E-02,3.16E+09,5.06E-01
2.00E+00,2.44E-02,2.44E+09,3.91E-01
2.50E+00,2.00E-02,2.00E+09,3.20E-01
3.00E+00,1.70E-02,1.70E+09,2.72E-01
3.50E+00,1.48E-02,1.48E+09,2.37E-01
4.00E+00,1.31E-02,1.31E+09,2.10E-01
4.50E+00,1.18E-02,1.18E+09,1.89E-01
5.00E+00,1.08E-02,1.08E+09,1.72E-01
5.50E+00,9.91E-03,9.91E+08,1.59E-01
6.00E+00,9.19E-03,9.19E+08,1.47E-01
6.50E+00,8.59E-03,8.59E+08,1.38E-01
7.00E+00,8.09E-03,8.09E+08,1.30E-01
7.50E+00,7.66E-03,7.66E+08,1.23E-01
8.00E+00,7.29E-03,7.29E+08,1.17E-01
8.50E+00,6.96E-03,6.96E+08,1.11E-01
9.00E+00,6.67E-03,6.67E+08,1.07E-01
9.50E+00,6.41E-03,6.41E+08,1.03E-01
1.00E+01,6.18E-03,6.18E+08,9.90E-02
1.50E+01,4.81E-03,4.81E+08,7.70E-02
2.00E+01,4.25E-03,4.25E+08,6.81E-02
2.50E+01,3.98E-03,3.98E+08,6.37E-02
3.00E+01,3.80E-03,3.80E+08,6.09E-02
3.50E+01,3.67E-03,3.67E+08,5.88E-02
4.00E+01,3.57E-03,3.57E+08,5.71E-02
4.50E+01,3.48E-03,3.48E+08,5.58E-02
5.00E+01,3.42E-03,3.42E+08,5.48E-02
5.50E+01,3.37E-03,3.37E+08,5.41E-02
6.00E+01,3.34E-03,3.34E+08,5.36E-02
6.50E+01,3.32E-03,3.32E+08,5.33E-02
7.00E+01,3.31E-03,3.31E+08,5.31E-02
7.50E+01,3.31E-03,3.31E+08,5.30E-02
8.00E+01,3.30E-03,3.30E+08,5.30E-02
8.50E+01,3.30E-03,3.30E+08,5.30E-02
9.00E+01,3.31E-03,3.31E+08,5.30E-02
9.50E+01,3.31E-03,3.31E+08,5.30E-02
1.00E+02,3.31E-03,3.31E+08,5.30E-02
1.50E+02,3.28E-03,3.28E+08,5.26E-02
2.00E+02,3.24E-03,3.24E+08,5.19E-02
2.50E+02,3.27E-03,3.27E+08,5.24E-02
3.00E+02,3.35E-03,3.35E+08,5.37E-02
3.50E+02,3.46E-03,3.46E+08,5.54E-02
4.00E+02,3.58E-03,3.58E+08,5.73E-02
4.50E+02,3.69E-03,3.69E+08,5.91E-02
5.00E+02,3.80E-03,3.80E+08,6.09E-02
5.50E+02,3.91E-03,3.91E+08,6.26E-02
6.00E+02,4.01E-03,4.01E+08,6.42E-02
6.50E+02,4.11E-03,4.11E+08,6.58E-02
7.00E+02,4.21E-03,4.21E+08,6.74E-02
7.50E+02,4.30E-03,4.30E+08,6.89E-02
8.00E+02,4.38E-03,4.38E+08,7.02E-02
8.50E+02,4.44E-03,4.44E+08,7.12E-02
9.00E+02,4.49E-03,4.49E+08,7.19E-02
9.50E+02,4.50E-03,4.50E+08,7.22E-02
1.00E+03,4.49E-03,4.49E+08,7.20E-02
