Excitation Incidence,ShortID,Proton Exposure Toggle,CouponID,Lightsoak (hours),CdTe p-Type Dopant,Proton Fluence (# cm^-2),ln(Fluence),Proton Acceleration Voltage (kV),N Rows,Mean(PCE (%)),Mean(Voc (V)),Mean(Jsc (mA/cm^2)),Mean(Fill Factor (%)),Std Dev(PCE (%)),Std Dev(Voc (V)),Std Dev(Jsc (mA/cm^2)),Std Dev(Fill Factor (%))
filmside,180409ac,after,409,0,Cu,1.00E+11,11,650,36,2.205777778,0.763222222,4.082611111,70.78786111,0.266176001,0.016346448,0.455195423,2.96794514
filmside,180409ac,before,409,0,Cu,1.00E+11,11,650,36,3.054805556,0.790694444,5.527361111,69.94413889,0.433359225,0.015632968,0.789945899,2.800977545
filmside,180409ba,after,409,0,Cu,1.00E+11,11,150,25,2.661,0.77912,4.60796,74.11708,0.116068586,0.002818392,0.191691045,0.879058441
filmside,180409ba,before,409,0,Cu,1.00E+11,11,150,25,2.91888,0.79424,5.06536,72.5772,0.113903219,0.002385372,0.205310107,1.47114179
filmside,180409bb,after,409,0,Cu,1.00E+12,12,650,29,2.416517241,0.757034483,4.562,69.99044828,0.121253165,0.005260926,0.117856147,3.219808164
filmside,180409bb,before,409,0,Cu,1.00E+12,12,650,27,3.23737037,0.796925926,5.604148148,72.49048148,0.194309853,0.002110886,0.279583578,2.503771699
filmside,180409bc,after,409,0,Cu,1.00E+13,13,1000,25,1.91504,0.70368,4.06444,66.954,0.116295772,0.00237557,0.232136289,1.086888104
filmside,180409bc,before,409,0,Cu,1.00E+13,13,1000,25,3.29564,0.79796,5.87552,70.35344,0.2670599,0.003246537,0.464515798,3.331500464
filmside,180409ca,after,409,0,Cu,1.00E+11,11,1000,25,2.5786,0.77656,4.49908,73.80524,0.086796217,0.002709243,0.141891954,0.71426269
filmside,180409ca,before,409,0,Cu,1.00E+11,11,1000,25,3.05744,0.79464,5.24968,73.26908,0.234653482,0.002706166,0.370103445,1.476709149
filmside,180409cb,after,409,0,Cu,1.00E+12,12,150,25,2.84632,0.76496,5.29208,70.33684,0.108176831,0.002318045,0.234466579,0.958562104
filmside,180409cb,before,409,0,Cu,1.00E+12,12,150,25,3.24028,0.79584,5.57016,73.09168,0.200233722,0.002560599,0.338802878,0.832263566
filmside,180409cd,after,409,0,Cu,1.00E+13,13,650,23,1.838478261,0.682434783,4.105130435,65.62847826,0.067789024,0.002590649,0.124373084,1.217085411
filmside,180409cd,before,409,0,Cu,1.00E+13,13,650,23,3.363217391,0.798869565,5.746391304,73.24965217,0.21376877,0.001890271,0.353968635,0.939216579
filmside,180409dc,after,409,0,Cu,1.00E+12,12,1000,25,2.05252,0.7666,3.72876,71.80744,0.143446889,0.004760952,0.253845636,0.968985469
filmside,180409dc,before,409,0,Cu,1.00E+12,12,1000,25,2.998,0.79664,5.215,72.23512,0.167770677,0.002531139,0.366008083,1.927571406
filmside,180409dd,after,409,0,Cu,1.00E+13,13,150,24,2.041791667,0.727958333,4.633708333,60.93295833,0.182494784,0.003368385,0.670327206,3.207003484
filmside,180409dd,before,409,0,Cu,1.00E+13,13,150,25,2.99552,0.7944,5.09876,73.89432,0.335477535,0.004193249,0.521048645,1.700864136
filmside,180410bb,after,410,0,Cu,1.00E+12,12,150,25,2.80368,0.76228,5.19044,70.90772,0.111695912,0.002441311,0.255683411,1.133570264
filmside,180410bb,before,410,0,Cu,1.00E+12,12,150,25,3.27124,0.79872,5.59396,73.21288,0.117679395,0.00145831,0.204382297,0.803324463
filmside,180410bc,after,410,0,Cu,1.00E+13,13,650,29,1.820517241,0.670551724,4.123655172,65.849,0.060773362,0.001804483,0.129245966,1.004821519
filmside,180410bc,before,410,0,Cu,1.00E+13,13,650,30,3.331433333,0.7979,5.802433333,71.97396667,0.275333363,0.004922503,0.407101418,3.499284838
filmside,180410bd,after,410,0,Cu,1.00E+11,11,1000,30,2.726933333,0.772566667,4.857566667,72.68753333,0.113294835,0.003470897,0.211805976,1.721929786
filmside,180410bd,before,410,0,Cu,1.00E+11,11,1000,29,3.064689655,0.799310345,5.580448276,68.69965517,0.37231142,0.002700575,0.458903864,6.303121621
filmside,180410ca,after,410,0,Cu,1.00E+12,12,1000,25,2.79216,0.77876,4.93308,72.68412,0.102905977,0.002165641,0.176943475,0.679522462
filmside,180410ca,before,410,0,Cu,1.00E+12,12,1000,25,3.25404,0.79964,5.63984,72.19168,0.217799694,0.001524248,0.281124036,3.978266862
