ScanID,Lightsoak (hr),ShortID,Excitation Incidence,Proton Exposure Toggle,CouponID,Partition,CdTe p-Type Dopant,Exposure Toggle,Fluence (# cm^-2),ln(Fluence),Proton Acceleration Voltage (kV),N Rows,Median(Efficiency (%)),Median(Voc (V)),Median(Jsc (mA/cm^2)),Median(Fill Factor (%)),Median(Rs (Ohms *cm^2)),Median(Rshunt (Ohms * cm^2)),Std Dev(Efficiency (%)),Std Dev(Voc (V)),Std Dev(Jsc (mA/cm^2)),Std Dev(Fill Factor (%)),Std Dev(Rs (Ohms *cm^2)),Std Dev(Rshunt (Ohms * cm^2))
180409ac_filmside_pre_0hr.0,0,180409ac,filmside,before,409,ac,Cu,expose,1.00E+11,11,650,36,2.9295,0.795,5.133,70.891,14.0715,2092.218,0.433359225,0.015632968,0.789945899,2.800977545,5.074564354,382.1044948
180409ac_filmside_post_0hr.0,0,180409ac,filmside,after,409,ac,Cu,expose,1.00E+11,11,650,36,2.2035,0.769,3.966,71.612,18.823,1681.9885,0.266176001,0.016346448,0.455195423,2.96794514,3.438017773,242.6208519
180409ac_pre_0hr.0,0,180409ac,sunnyside,before,409,ac,Cu,expose,1.00E+11,11,650,36,17.647,0.8485,28.727,72.0905,1.8925,2197.926,1.24785591,0.009099451,0.949448956,2.659827916,1.014109645,451.2782404
180409ac_post_0hr.0,0,180409ac,sunnyside,after,409,ac,Cu,expose,1.00E+11,11,650,30,17.145,0.841,28.6525,71.1845,3.9595,2202.231,0.581916186,0.003662328,0.421326615,1.51165999,0.600347712,594.5900787
180409ba_filmside_pre_0hr.0,0,180409ba,filmside,before,409,ba,Cu,expose,1.00E+11,11,150,25,2.914,0.794,5.034,73.03,16.643,2116.571,0.113903219,0.002385372,0.205310107,1.47114179,3.055704806,284.7249802
180409ba_filmside_post_0hr.0,0,180409ba,filmside,after,409,ba,Cu,expose,1.00E+11,11,150,25,2.664,0.78,4.588,74.254,18.672,1303.346,0.116068586,0.002818392,0.191691045,0.879058441,1.649733337,133.7376063
180409ba_pre_0hr.0,0,180409ba,sunnyside,before,409,ba,Cu,expose,1.00E+11,11,150,25,17.811,0.849,29.033,72.444,2.019,2368.325,0.345740259,0.001529706,0.404392169,0.756619264,0.128469815,363.5597467
180409ba_post_0hr.0,0,180409ba,sunnyside,after,409,ba,Cu,expose,1.00E+11,11,150,25,17.588,0.845,28.78,72.336,2.067,3082.409,0.29932577,0.001439907,0.408784369,0.528203947,0.138609319,538.4674363
180409bb_filmside_pre_0hr.0,0,180409bb,filmside,before,409,bb,Cu,expose,1.00E+12,12,650,27,3.209,0.797,5.532,73.269,15.899,1822.619,0.194309853,0.002110886,0.279583578,2.503771699,3.221943033,296.7612476
180409bb_filmside_post_0hr.0,0,180409bb,filmside,after,409,bb,Cu,expose,1.00E+12,12,650,27,2.432,0.757,4.54,70.778,20.397,2156.624,0.123095868,0.005442002,0.116239254,3.336143735,1.731220797,359.0089575
180409bb_pre_0hr.0,0,180409bb,sunnyside,before,409,bb,Cu,expose,1.00E+12,12,650,28,17.888,0.849,29.046,72.4695,1.756,2345.5305,0.260263826,0.002006603,0.281845036,0.755907573,0.737577017,493.308805
180409bb_post_0hr.0,0,180409bb,sunnyside,after,409,bb,Cu,expose,1.00E+12,12,650,25,16.343,0.833,28.643,68.127,2.557,2024.896,0.321407566,0.001779513,0.276211586,1.007519657,0.643048282,442.2954512
