Energy (MeV),NIEL (MeV cm2 g-1),NIEL Dose* (MeV g-1),NIEL Dose* (Gy)
1.00E-04,0.00E+00,0.00E+00,0.00E+00
1.50E-04,0.00E+00,0.00E+00,0.00E+00
2.00E-04,0.00E+00,0.00E+00,0.00E+00
2.50E-04,0.00E+00,0.00E+00,0.00E+00
3.00E-04,0.00E+00,0.00E+00,0.00E+00
3.50E-04,0.00E+00,0.00E+00,0.00E+00
4.00E-04,0.00E+00,0.00E+00,0.00E+00
4.50E-04,0.00E+00,0.00E+00,0.00E+00
5.00E-04,0.00E+00,0.00E+00,0.00E+00
5.50E-04,0.00E+00,0.00E+00,0.00E+00
6.00E-04,2.72E-03,2.72E+10,4.37E+00
6.50E-04,3.59E-02,3.59E+11,5.75E+01
7.00E-04,7.96E-02,7.96E+11,1.27E+02
7.50E-04,1.33E-01,1.33E+12,2.12E+02
8.00E-04,1.81E-01,1.81E+12,2.89E+02
8.50E-04,2.24E-01,2.24E+12,3.59E+02
9.00E-04,2.64E-01,2.64E+12,4.23E+02
9.50E-04,3.01E-01,3.01E+12,4.82E+02
1.00E-03,3.34E-01,3.34E+12,5.36E+02
1.50E-03,5.63E-01,5.63E+12,9.03E+02
2.00E-03,6.85E-01,6.85E+12,1.10E+03
2.50E-03,7.56E-01,7.56E+12,1.21E+03
3.00E-03,7.99E-01,7.99E+12,1.28E+03
3.50E-03,8.25E-01,8.25E+12,1.32E+03
4.00E-03,8.39E-01,8.39E+12,1.34E+03
4.50E-03,8.47E-01,8.47E+12,1.36E+03
5.00E-03,8.49E-01,8.49E+12,1.36E+03
5.50E-03,8.48E-01,8.48E+12,1.36E+03
6.00E-03,8.44E-01,8.44E+12,1.35E+03
6.50E-03,8.39E-01,8.39E+12,1.34E+03
7.00E-03,8.32E-01,8.32E+12,1.33E+03
7.50E-03,8.24E-01,8.24E+12,1.32E+03
8.00E-03,8.16E-01,8.16E+12,1.31E+03
8.50E-03,8.07E-01,8.07E+12,1.29E+03
9.00E-03,7.98E-01,7.98E+12,1.28E+03
9.50E-03,7.89E-01,7.89E+12,1.26E+03
1.00E-02,7.80E-01,7.80E+12,1.25E+03
1.50E-02,6.92E-01,6.92E+12,1.11E+03
2.00E-02,6.20E-01,6.20E+12,9.93E+02
2.50E-02,5.61E-01,5.61E+12,8.99E+02
3.00E-02,5.14E-01,5.14E+12,8.23E+02
3.50E-02,4.74E-01,4.74E+12,7.60E+02
4.00E-02,4.41E-01,4.41E+12,7.06E+02
4.50E-02,4.12E-01,4.12E+12,6.61E+02
5.00E-02,3.88E-01,3.88E+12,6.21E+02
5.50E-02,3.66E-01,3.66E+12,5.87E+02
6.00E-02,3.47E-01,3.47E+12,5.56E+02
6.50E-02,3.30E-01,3.30E+12,5.29E+02
7.00E-02,3.15E-01,3.15E+12,5.05E+02
7.50E-02,3.01E-01,3.01E+12,4.83E+02
8.00E-02,2.89E-01,2.89E+12,4.63E+02
8.50E-02,2.77E-01,2.77E+12,4.44E+02
9.00E-02,2.67E-01,2.67E+12,4.28E+02
9.50E-02,2.57E-01,2.57E+12,4.12E+02
1.00E-01,2.48E-01,2.48E+12,3.98E+02
1.50E-01,1.87E-01,1.87E+12,2.99E+02
2.00E-01,1.51E-01,1.51E+12,2.42E+02
2.50E-01,1.27E-01,1.27E+12,2.04E+02
3.00E-01,1.10E-01,1.10E+12,1.77E+02
3.50E-01,9.79E-02,9.79E+11,1.57E+02
4.00E-01,8.79E-02,8.79E+11,1.41E+02
4.50E-01,8.00E-02,8.00E+11,1.28E+02
5.00E-01,7.35E-02,7.35E+11,1.18E+02
5.50E-01,6.80E-02,6.80E+11,1.09E+02
6.00E-01,6.34E-02,6.34E+11,1.02E+02
6.50E-01,5.95E-02,5.95E+11,9.53E+01
7.00E-01,5.60E-02,5.60E+11,8.98E+01
7.50E-01,5.30E-02,5.30E+11,8.49E+01
8.00E-01,5.03E-02,5.03E+11,8.06E+01
8.50E-01,4.79E-02,4.79E+11,7.68E+01
9.00E-01,4.57E-02,4.57E+11,7.33E+01
9.50E-01,4.38E-02,4.38E+11,7.02E+01
1.00E+00,4.20E-02,4.20E+11,6.73E+01
1.50E+00,2.97E-02,2.97E+11,4.76E+01
2.00E+00,2.30E-02,2.30E+11,3.69E+01
2.50E+00,1.89E-02,1.89E+11,3.02E+01
3.00E+00,1.60E-02,1.60E+11,2.57E+01
3.50E+00,1.40E-02,1.40E+11,2.24E+01
4.00E+00,1.24E-02,1.24E+11,1.99E+01
4.50E+00,1.12E-02,1.12E+11,1.79E+01
5.00E+00,1.01E-02,1.01E+11,1.63E+01
5.50E+00,9.31E-03,9.31E+10,1.49E+01
6.00E+00,8.61E-03,8.61E+10,1.38E+01
6.50E+00,8.03E-03,8.03E+10,1.29E+01
7.00E+00,7.54E-03,7.54E+10,1.21E+01
7.50E+00,7.10E-03,7.10E+10,1.14E+01
8.00E+00,6.72E-03,6.72E+10,1.08E+01
8.50E+00,6.38E-03,6.38E+10,1.02E+01
9.00E+00,6.07E-03,6.07E+10,9.73E+00
9.50E+00,5.80E-03,5.80E+10,9.29E+00
1.00E+01,5.55E-03,5.55E+10,8.90E+00
1.50E+01,4.02E-03,4.02E+10,6.45E+00
2.00E+01,3.31E-03,3.31E+10,5.30E+00
2.50E+01,2.90E-03,2.90E+10,4.65E+00
3.00E+01,2.63E-03,2.63E+10,4.22E+00
3.50E+01,2.44E-03,2.44E+10,3.92E+00
4.00E+01,2.30E-03,2.30E+10,3.69E+00
4.50E+01,2.19E-03,2.19E+10,3.52E+00
5.00E+01,2.11E-03,2.11E+10,3.38E+00
5.50E+01,2.04E-03,2.04E+10,3.27E+00
6.00E+01,1.99E-03,1.99E+10,3.19E+00
6.50E+01,1.94E-03,1.94E+10,3.12E+00
7.00E+01,1.91E-03,1.91E+10,3.06E+00
7.50E+01,1.88E-03,1.88E+10,3.02E+00
8.00E+01,1.86E-03,1.86E+10,2.98E+00
8.50E+01,1.84E-03,1.84E+10,2.95E+00
9.00E+01,1.83E-03,1.83E+10,2.93E+00
9.50E+01,1.82E-03,1.82E+10,2.91E+00
1.00E+02,1.81E-03,1.81E+10,2.90E+00
1.50E+02,1.75E-03,1.75E+10,2.80E+00
2.00E+02,1.71E-03,1.71E+10,2.74E+00
2.50E+02,1.69E-03,1.69E+10,2.71E+00
3.00E+02,1.72E-03,1.72E+10,2.75E+00
3.50E+02,1.77E-03,1.77E+10,2.84E+00
4.00E+02,1.84E-03,1.84E+10,2.95E+00
4.50E+02,1.91E-03,1.91E+10,3.06E+00
5.00E+02,1.98E-03,1.98E+10,3.17E+00
5.50E+02,2.04E-03,2.04E+10,3.27E+00
6.00E+02,2.10E-03,2.10E+10,3.36E+00
6.50E+02,2.15E-03,2.15E+10,3.44E+00
7.00E+02,2.19E-03,2.19E+10,3.51E+00
7.50E+02,2.24E-03,2.24E+10,3.58E+00
8.00E+02,2.28E-03,2.28E+10,3.66E+00
8.50E+02,2.32E-03,2.32E+10,3.72E+00
9.00E+02,2.35E-03,2.35E+10,3.77E+00
9.50E+02,2.37E-03,2.37E+10,3.79E+00
1.00E+03,2.35E-03,2.35E+10,3.77E+00
